id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26778255,West 10th st Clarksville Condo,201356145,Maggie,,78703,30.27596,-97.75558,Entire home/apt,,2,5,2018-12-03,0.07,1,0,0,
26806684,Large Modern Home - Walk to Zilker/Barton Springs,201577188,Brandt,,78704,30.25634,-97.76679,Entire home/apt,,3,11,2022-10-24,0.16,1,0,0,
26807255,Little Zilker Green House,13565872,Callie,,78704,30.24734,-97.77645,Entire home/apt,90,2,69,2024-04-07,1.11,1,215,12,
26816767,Shadetree Studio located in East Austin,146791271,Denise,,78725,30.26185,-97.67106,Entire home/apt,112,2,153,2024-05-26,2.27,1,56,23,
26862811,Austin House,9875059,Josh,,78702,30.26795,-97.71247,Private room,,1,5,2018-08-10,0.07,1,0,0,
26867216,Austin Apartment! Your home away from home!,38475961,Jessica,,78704,30.23841,-97.78599,Entire home/apt,,2,4,2018-11-11,0.06,2,0,0,
26870587,Classy Hancock two-bedroom Condo,202093848,Terry,,78705,30.29092,-97.72656,Entire home/apt,251,1,83,2023-06-25,1.17,3,119,2,
26894880,@Hyde Park! Cozy Studio(1/1) Central Austin,202315665,Melissa,,78751,30.31243133544922,-97.72862243652344,Entire home/apt,120,1,98,2024-05-04,1.40,1,161,19,
26895068,Family Friendly Mid-Century Modern in North Austin,8593176,Arie,,78757,30.36033,-97.72351,Entire home/apt,,7,5,2024-03-22,0.07,1,0,1,
26914567,Downtown Austin Penthouse Suite Condominium,201568146,Frank,,78701,30.27101,-97.74153,Entire home/apt,554,1,112,2024-04-09,1.58,1,171,13,
26918145,"S.Austin Condo 2 Rooms, 1bath, & patio near DT",82144111,Candy,,78745,30.2097,-97.78461,Entire home/apt,81,2,157,2024-06-03,2.74,2,90,30,
26958666,Modern Guest House + Private Yard + Pet Friendly!,8721800,Chris And Tracy,,78723,30.30256,-97.67795,Entire home/apt,113,2,257,2024-06-16,3.67,1,149,86,
